,Item_Name,Ori_img_URL,detail_img_URL
40,[KF365] 완숙토마토 2kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637936287581l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220801/gv20000395056_1.jpg
41,[부침명장] 한입아삭 김치전,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1562306917228l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220307/gv10000286411_1.jpg
42,[풀무원] 모짜렐라 핫도그 5개입,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653035800917l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220726/gv10000392134_1.jpg
43,[연세우유 x 마켓컬리] 전용목장우유 900mL,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637154205701l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210108/gv20000150188_1.jpg
44,[모노키친] 통통 치즈돈까스,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653034502220l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220316/gv10000290261_1.jpg
45,[그릭데이] 그릭요거트 시그니처 450g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1655708537238l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220620/gv30000328493_1.jpg
46,[이목] 국내산 소고기 차돌박이 구이용 200g (냉동),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1598343587447l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211001/gv20000231043_1.jpg
47,[고메공방] 대구식 납작만두 300g (15g x 20입),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637301571627l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220705/gv40000334136_1.jpg
48,[햇반/쿡반] 노릇노릇 구운 주먹밥 800g 5종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653040583683l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220331/gv00000297778_1.jpg
49,[스위프리] 샤인마토 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653038808276l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220819/gv20000411107_1.jpg
50,[KF365] 1+등급 무항생제 대란 15구,"https://product-image.kurly.com/cdn-cgi/image/width=676,format=auto/product/image/ae060fa0-0dbc-4158-8d9f-39bec8146021.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220718/gv40000340231_1.jpg
51,조선향미 8kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637922242952l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220623/gv40000330203_1.jpg
52,[KF365] 3겹 천연펄프 더 오래쓰는 화장지 (40m X 18롤),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/165305140573l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211029/gv10000238628_1.jpg
53,[KF365] 애호박 1개,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637154502152l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210915/gv20000226861_1.jpg
54,[풀무원] 식물성 지구식단 LIKE 텐더,"https://product-image.kurly.com/cdn-cgi/image/width=676,format=auto/product/image/0bb912d1-8474-40ba-9b3e-638d8f084494.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220902/gv10000419373_1.jpg
55,[이목] 국내산 소고기 다짐육 200g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653036177766l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220120/gv30000270347_1.jpg
56,[마니커F&G] 옛날통닭 바사삭 치킨윙 400g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653039871331l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210420/gv20000174599_1.jpg
57,[미식당] 치즈롤 돈카츠 150g * 2입 (소스포함),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/165104939315l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220427/gv10000307894_1.jpg
58,[KF365] 방울토마토 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637936421263l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220801/gv00000395055_1.jpg
59,[한팟] 치즈 부대찌개 1858g(냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653037586448l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220610/gv10000325638_1.jpg
60,[미식당] 등심 돈카츠 180g * 2입 (소스포함),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1651049266530l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220427/gv00000307883_1.jpg
61,냉동 블루베리 1kg (칠레산),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653035681281l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220617/gv30000328131_1.jpg
62,GAP 샤인머스캣 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/163792437184l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220711/gv30000335939_1.jpg
63,[진실된손맛] 뼈없는 인삼 갈비탕,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653039722341l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210611/gv30000192685_1.jpg
64,[창억] 찰떡 3종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637629909531l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210602/gv40000189402_1.jpg
65,[스윗볼] 스테비아 토마토 500g,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653038832359l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220817/gv00000409002_1.jpg
66,[산메촌] 메밀 물막국수(2인분),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/162097789974l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220609/gv40000325051_1.jpg
67,[일상味소] 등심 2종 (냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637921170682l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220418/gv20000303414_1.jpg
68,[워커힐] 명월관 갈비탕,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1548047435248l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20201007/gv10000126008_1.jpg
69,[풀무원] 얇은피꽉찬속 만두 2종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1633573520919l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211006/gv40000231693_1.jpg
70,[최현석의 쵸이닷] 새우 봉골레 파스타,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/164820616351l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20211125/gv10000248737_1.jpg
71,[스윗볼] 스테비아 토마토 1kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637924799112l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220817/gv40000409006_1.jpg
72,[하남주꾸미] 주꾸미 볶음 2종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/16530347739l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210709/gv40000201444_1.jpg
73,[하코야] 살얼음 동동 냉메밀 소바,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637921430646l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210603/gv30000189868_1.jpg
74,[미자언니네] 꽃게 액젓,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1563327915930l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211223/gv00000260965_1.jpg
75,[포비베이글] 크림치즈 8종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653034267999l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220217/gv30000281260_1.jpg
76,[LOTS OF LOVE] 차돌듬뿍 묵은지 볶음밥,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/165303656813l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20211116/gv30000243403_1.jpg
77,[선물세트] HBAF 매일 색다른 먼투썬 하루견과 4주 (20gx28봉),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1645083009421l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220413/gv00000302432_1.jpg
78,[밀클레버] 미니붕어빵 4종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1648202670772l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220209/gv10000276897_1.jpg
79,아삭한 햇 홍로 사과 1.5kg (6~7입),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1630048390673l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220818/gv00000410731_1.jpg
80,[풀무원] 아임리얼 700mL 7종,"https://product-image.kurly.com/cdn-cgi/image/width=676,format=auto/product/image/0a67a9e8-3af2-4e58-a288-4110f81199fb.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220729/gv00000394556_1.jpg
81,[이목] 무항생제 소고기 다짐육 200g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637928087765l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220726/gv10000392200_1.jpg
82,[KF365] 양파 1.8kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637154770299l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210601/gv20000189355_1.jpg
83,[라라스윗] 생우유 모나카 (140ml * 4개입),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653040755178l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220217/gv10000281289_1.jpg
84,[앤쿡] 어린이 한우 사골 곰국,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653036594968l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210907/gv30000224309_1.jpg
85,[폴 바셋] 바리스타 돌체라떼 330mL,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653041332575l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211224/gv20000261827_1.jpg
86,[페이장 브레통] 포켓버터 3종,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1454463723960l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220328/gv30000295908_1.jpg
87,[투다리] 시그니처 김치우동 (2인분),"https://product-image.kurly.com/cdn-cgi/image/width=676,format=auto/product/image/cfdaaee7-1a0d-4fd1-a778-611014196880.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220809/gv00000405251_1.jpg
88,[바른식]부산 조방낙지 낙곱새 (2인분),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653037798484l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220209/gv00000277034_1.jpg
89,조선향미 현미 1kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653038394413l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220126/gv30000272423_1.jpg
90,[KF365] 감자 1kg,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1637154387515l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220124/gv00000271028_1.jpg
91,[KF365] 춘천식 닭갈비 1kg (냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653040325647l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211013/gv10000233505_1.jpg
92,[KF365] 아보카도 200g (1개),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/165303553166l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211014/gv10000233698_1.jpg
93,[쌜모네키친] 오로라 생연어 (냉장),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653034911206l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220317/gv00000290946_1.jpg
94,[거대곰탕] 곰탕,"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653035519444l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20210823/gv40000217456_1.jpg
95,[KF365] 삼겹살 대패 1kg (냉동),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653040211228l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220906/gv30000420137_1.jpg
96,[광화문 미진] 메밀국수 (2인분),"https://img-cf.kurly.com/cdn-cgi/image/width=676,format=auto/shop/data/goods/1653036058150l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220418/gv40000303856_1.jpg
